Name,Popularity
Bulbasaur,710
Ivysaur,83
Venusaur,127
Charmander,374
Charmeleon,70
Charizard,1107
Squirtle,523
Wartortle,133
Blastoise,410
Caterpie,28
Metapod,18
Butterfree,58
Weedle,20
Kakuna,13
Beedrill,83
Pidgey,42
Pidgeotto,32
Pidgeot,96
Rattata,27
Raticate,19
Spearow,2
Fearow,21
Ekans,9
Arbok,19
Pikachu,293
Raichu,301
Sandshrew,200
Sandslash,167
Nidoran-F,7
Nidorina,6
Nidoqueen,23
Nidoran-M,18
Nidorino,23
Nidoking,265
Clefairy,44
Clefable,39
Vulpix,302
Ninetales,471
Jigglypuff,162
Wigglytuff,34
Zubat,37
Golbat,12
Oddish,127
Gloom,32
Vileplume,67
Paras,22
Parasect,32
Venonat,27
Venomoth,19
Diglett,47
Dugtrio,26
Meowth,50
Persian,33
Psyduck,281
Golduck,60
Mankey,21
Primeape,59
Growlithe,276
Arcanine,923
Poliwag,30
Poliwhirl,96
Poliwrath,56
Abra,111
Kadabra,82
Alakazam,376
Machop,23
Machoke,23
Machamp,104
Bellsprout,27
Weepinbell,12
Victreebel,19
Tentacool,9
Tentacruel,30
Geodude,38
Graveler,14
Golem,45
Ponyta,51
Rapidash,77
Slowpoke,118
Slowbro,79
Magnemite,61
Magneton,54
Farfetchd,118
Doduo,7
Dodrio,14
Seel,27
Dewgong,49
Grimer,14
Muk,86
Shellder,19
Cloyster,56
Gastly,27
Haunter,301
Gengar,1056
Onix,46
Drowzee,18
Hypno,31
Krabby,42
Kingler,62
Voltorb,12
Electrode,13
Exeggcute,1
Exeggutor,50
Cubone,321
Marowak,83
Hitmonlee,45
Hitmonchan,52
Lickitung,55
Koffing,62
Weezing,50
Rhyhorn,20
Rhydon,43
Chansey,53
Tangela,47
Kangaskhan,37
Horsea,9
Seadra,11
Goldeen,2
Seaking,8
Staryu,21
Starmie,111
Mr-Mime,70
Scyther,394
Jynx,38
Electabuzz,42
Magmar,42
Pinsir,32
Tauros,54
Magikarp,119
Gyarados,265
Lapras,233
Ditto,184
Eevee,581
Vaporeon,275
Jolteon,335
Flareon,94
Porygon,97
Omanyte,15
Omastar,13
Kabuto,20
Kabutops,118
Aerodactyl,51
Snorlax,433
Articuno,136
Zapdos,121
Moltres,16
Dratini,92
Dragonair,157
Dragonite,551
Mewtwo,298
Mew,269
Chikorita,98
Bayleef,66
Meganium,75
Cyndaquil,377
Quilava,181
Typhlosion,534
Totodile,300
Croconaw,21
Feraligatr,287
Sentret,12
Furret,132
Hoothoot,8
Noctowl,32
Ledyba,5
Ledian,30
Spinarak,11
Ariados,13
Crobat,231
Chinchou,21
Lanturn,63
Pichu,59
Cleffa,6
Igglybuff,5
Togepi,71
Togetic,21
Natu,22
Xatu,50
Mareep,118
Flaaffy,43
Ampharos,529
Bellossom,28
Marill,31
Azumarill,106
Sudowoodo,60
Politoed,73
Hoppip,14
Skiploom,3
Jumpluff,35
Aipom,66
Sunkern,14
Sunflora,12
Yanma,22
Wooper,109
Quagsire,123
Espeon,384
Umbreon,607
Murkrow,86
Slowking,46
Misdreavus,80
Unown,18
Wobbuffet,79
Girafarig,34
Pineco,7
Forretress,30
Dunsparce,209
Gligar,30
Steelix,95
Snubbull,21
Granbull,8
Qwilfish,23
Scizor,424
Shuckle,176
Heracross,279
Sneasel,103
Teddiursa,40
Ursaring,34
Slugma,13
Magcargo,23
Swinub,39
Piloswine,13
Corsola,34
Remoraid,3
Octillery,37
Delibird,38
Mantine,27
Skarmory,135
Houndour,29
Houndoom,177
Kingdra,72
Phanpy,77
Donphan,72
Porygon2,69
Stantler,21
Smeargle,55
Tyrogue,5
Hitmontop,17
Smoochum,5
Elekid,23
Magby,5
Miltank,54
Blissey,15
Raikou,41
Entei,56
Suicune,140
Larvitar,50
Pupitar,2
Tyranitar,451
Lugia,260
Ho-Oh,49
Celebi,78
Treecko,134
Grovyle,129
Sceptile,337
Torchic,105
Combusken,6
Blaziken,613
Mudkip,404
Marshtomp,21
Swampert,381
Poochyena,28
Mightyena,61
Zigzagoon,56
Linoone,31
Wurmple,12
Silcoon,0
Beautifly,2
Cascoon,2
Dustox,5
Lotad,34
Lombre,6
Ludicolo,147
Seedot,14
Nuzleaf,6
Shiftry,29
Taillow,8
Swellow,33
Wingull,18
Pelipper,30
Ralts,82
Kirlia,18
Gardevoir,585
Surskit,22
Masquerain,24
Shroomish,27
Breloom,228
Slakoth,23
Vigoroth,9
Slaking,69
Nincada,3
Ninjask,27
Shedinja,116
Whismur,5
Loudred,5
Exploud,26
Makuhita,4
Hariyama,13
Azurill,10
Nosepass,10
Skitty,74
Delcatty,30
Sableye,237
Mawile,247
Aron,96
Lairon,19
Aggron,313
Meditite,2
Medicham,20
Electrike,8
Manectric,62
Plusle,23
Minun,24
Volbeat,9
Illumise,5
Roselia,19
Gulpin,16
Swalot,22
Carvanha,3
Sharpedo,33
Wailmer,18
Wailord,86
Numel,21
Camerupt,42
Torkoal,37
Spoink,33
Grumpig,21
Spinda,38
Trapinch,22
Vibrava,16
Flygon,510
Cacnea,23
Cacturne,21
Swablu,25
Altaria,136
Zangoose,99
Seviper,21
Lunatone,8
Solrock,6
Barboach,2
Whiscash,23
Corphish,16
Crawdaunt,30
Baltoy,1
Claydol,19
Lileep,4
Cradily,46
Anorith,8
Armaldo,26
Feebas,6
Milotic,224
Castform,36
Kecleon,28
Shuppet,12
Banette,80
Duskull,44
Dusclops,22
Tropius,118
Chimecho,25
Absol,542
Wynaut,7
Snorunt,27
Glalie,34
Spheal,83
Sealeo,3
Walrein,33
Clamperl,8
Huntail,2
Gorebyss,7
Relicanth,32
Luvdisc,9
